trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
20,False,"{'a': 0.9, 'e': 0.955336489125606}",30,12,-13.725078870180925,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
21,False,"{'a': 0.9, 'e': 0.9507963789140532}",25,0,36.335488433564485,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.9, 'e': 0.946042343528387}",20,6,23.639959360830506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.941075452606513}",35,15,29.841526649791756,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.9, 'e': 0.9358968236779348}",20,11,9.182119606427834,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.9, 'e': 0.9305076219123143}",20,16,4.446978682765396,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.9, 'e': 0.9249090598573131}",20,4,30.33248304454888,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.9, 'e': 0.9191023971657747}",20,10,15.764969405697075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9, 'e': 0.9130889403123083}",20,3,27.275956288472614,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.9, 'e': 0.9068700422993367}",20,9,1.9625565872741146,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.9, 'e': 0.9004471023526769}",20,14,12.856939217663427,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.9, 'e': 0.8938215656067207}",20,8,21.076190576247807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.8869949227792842}",30,18,20.7493126981859,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.9, 'e': 0.8799687098362042}",20,14,11.72059377580537,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.9, 'e': 0.8727445076457513}",20,0,-15.099706108745586,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.9, 'e': 0.8653239416229412}",20,3,-15.160855507748373,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.9, 'e': 0.8577086813638242}",30,5,1.0449128968771042,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.9, 'e': 0.8499004402698316}",25,20,7.679277316445326,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.9, 'e': 0.8419009751622688}",25,18,10.368403759961163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
